"ID" "GROUP" "SCIENCE" "URBAN" "GENDER" "CONS" "URB.MEAN" "SCH.RES" "SCH.RES.MEAN" "GEND.FAC"
113 12 13 18 2 1 3.5749999999999993 12 2.03125 "Female"
114 12 13 18 2 1 3.5749999999999993 12 2.03125 "Female"
115 12 14 18 2 1 3.5749999999999993 12 2.03125 "Female"
116 12 14 17 1 1 2.5749999999999993 12 2.03125 "Male"
117 12 15 17 1 1 2.5749999999999993 12 2.03125 "Male"
118 12 15 17 1 1 2.5749999999999993 12 2.03125 "Male"
119 12 16 16 1 1 1.5749999999999993 12 2.03125 "Male"
120 12 16 16 1 1 1.5749999999999993 12 2.03125 "Male"
121 13 13 20 1 1 5.574999999999999 12.5 2.53125 "Male"
122 13 13 21 1 1 6.574999999999999 12.5 2.53125 "Male"
123 13 14 20 1 1 5.574999999999999 12.5 2.53125 "Male"
124 13 14 19 1 1 4.574999999999999 12.5 2.53125 "Male"
125 13 15 18 1 1 3.5749999999999993 12.5 2.53125 "Male"
126 13 15 18 2 1 3.5749999999999993 12.5 2.53125 "Female"
127 13 16 18 2 1 3.5749999999999993 12.5 2.53125 "Female"
128 13 16 17 2 1 2.5749999999999993 12.5 2.53125 "Female"
129 13 17 17 2 1 2.5749999999999993 12.5 2.53125 "Female"
130 13 17 16 2 1 1.5749999999999993 12.5 2.53125 "Female"
131 14 14 21 2 1 6.574999999999999 13 3.03125 "Female"
132 14 14 21 2 1 6.574999999999999 13 3.03125 "Female"
133 14 15 21 2 1 6.574999999999999 13 3.03125 "Female"
134 14 15 20 2 1 5.574999999999999 13 3.03125 "Female"
135 14 16 20 2 1 5.574999999999999 13 3.03125 "Female"
136 14 16 20 1 1 5.574999999999999 13 3.03125 "Male"
137 14 17 19 1 1 4.574999999999999 13 3.03125 "Male"
138 14 17 19 1 1 4.574999999999999 13 3.03125 "Male"
139 14 18 19 1 1 4.574999999999999 13 3.03125 "Male"
140 14 18 18 1 1 3.5749999999999993 13 3.03125 "Male"
141 15 19 23 1 1 8.575 14.5 4.53125 "Male"
142 15 19 22 1 1 7.574999999999999 14.5 4.53125 "Male"
143 15 19 23 1 1 8.575 14.5 4.53125 "Male"
144 15 19 23 1 1 8.575 14.5 4.53125 "Male"
145 15 19 22 1 1 7.574999999999999 14.5 4.53125 "Male"
146 15 18 21 2 1 6.574999999999999 14.5 4.53125 "Female"
147 15 18 20 2 1 5.574999999999999 14.5 4.53125 "Female"
148 15 18 20 2 1 5.574999999999999 14.5 4.53125 "Female"
149 15 18 20 2 1 5.574999999999999 14.5 4.53125 "Female"
150 15 18 19 2 1 4.574999999999999 14.5 4.53125 "Female"
151 16 20 25 2 1 10.575 15 5.03125 "Female"
152 16 20 25 2 1 10.575 15 5.03125 "Female"
153 16 20 24 2 1 9.575 15 5.03125 "Female"
154 16 20 24 2 1 9.575 15 5.03125 "Female"
155 16 20 23 2 1 8.575 15 5.03125 "Female"
156 16 19 22 1 1 7.574999999999999 15 5.03125 "Male"
157 16 19 23 1 1 8.575 15 5.03125 "Male"
158 16 19 23 1 1 8.575 15 5.03125 "Male"
159 16 19 22 1 1 7.574999999999999 15 5.03125 "Male"
160 16 19 22 1 1 7.574999999999999 15 5.03125 "Male"
